entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2015-11-27,2015-12-03,176.6529,173.1396,170,-597.25,15.8879,15.6065,31.4943,False,4,TOM,CALENDAR,IS,186
2015-12-14,2015-12-17,171.0388,172.508,172,252.7,15.5965,15.7383,31.3348,False,3,OEX,CALENDAR,IS,187
2015-12-23,2015-12-24,174.7024,174.2293,170,-80.43,15.7299,15.7053,31.4352,False,1,PRE_HOLIDAY,CALENDAR,IS,188
2015-12-30,2016-01-06,174.6261,168.4181,170,-1055.36,15.724,15.2078,30.9318,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,189
2016-01-11,2016-01-15,162.9072,159.0914,176,-671.59,15.2455,14.9254,30.1709,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,190
2016-01-28,2016-02-03,160.3633,162.0478,174,293.11,14.8504,15.0157,29.8661,False,4,TOM,CALENDAR,IS,191
2016-02-11,2016-02-12,155.0636,158.0918,182,551.13,15.0509,15.3439,30.3948,False,1,PRE_HOLIDAY,CALENDAR,IS,192
2016-02-16,2016-02-18,160.9315,162.717,179,319.6,15.3306,15.5081,30.8387,False,2,OEX,CALENDAR,IS,193
2016-02-26,2016-03-03,165.4342,169.2313,176,668.3,15.471,15.8213,31.2924,False,4,TOM,CALENDAR,IS,194
2016-03-14,2016-03-17,171.7176,173.3399,173,280.66,15.746,15.8989,31.6449,False,3,OEX,CALENDAR,IS,195
2016-03-30,2016-04-05,175.6033,173.8594,171,-298.22,15.8827,15.7527,31.6353,False,4,TOM,CALENDAR,IS,196
2016-04-11,2016-04-14,173.8986,177.112,171,549.48,15.7392,16.0325,31.7717,False,3,OEX,CALENDAR,IS,197
2016-04-28,2016-05-04,176.8222,174.5576,171,-387.24,15.9925,15.813,31.8055,False,4,TOM,CALENDAR,IS,198
2016-05-16,2016-05-19,176.2511,173.8679,170,-405.15,15.8499,15.6627,31.5126,False,3,OEX,CALENDAR,IS,199
2016-05-26,2016-06-03,178.4331,179.0448,165,100.93,15.5666,15.6304,31.197,False,5,"PRE_HOLIDAY,TOM",CALENDAR,IS,200
2016-06-13,2016-06-17,177.6745,176.7577,167,-153.1,15.6875,15.6228,31.3103,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,201
2016-06-29,2016-07-06,177.065,179.4452,166,395.12,15.5598,15.7739,31.3337,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,202
2016-07-11,2016-07-14,182.8396,184.9744,163,347.98,15.7506,15.9411,31.6917,False,3,OEX,CALENDAR,IS,203
2016-07-28,2016-08-03,185.7268,185.0259,163,-114.24,15.9661,15.9225,31.8886,False,4,TOM,CALENDAR,IS,204
2016-08-15,2016-08-18,187.7144,187.3197,160,-63.15,15.8252,15.8096,31.6348,False,3,OEX,CALENDAR,IS,205
2016-08-30,2016-09-06,186.7806,187.4653,161,110.24,15.8487,15.9178,31.7665,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,206
2016-09-12,2016-09-15,185.3584,184.2555,163,-179.77,15.9431,15.8705,31.8136,False,3,OEX,CALENDAR,IS,207
2016-09-29,2016-10-05,184.8653,185.4874,162,100.78,15.8091,15.8756,31.6847,False,4,TOM,CALENDAR,IS,208
2016-10-17,2016-10-20,182.8847,183.982,164,179.95,15.8341,15.9381,31.7721,False,3,OEX,CALENDAR,IS,209
2016-10-28,2016-11-03,183.0224,179.5948,165,-565.56,15.9349,15.6678,31.6027,False,4,TOM,CALENDAR,IS,210
