z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
60,1.0,0.55,2,200,0.446,0.052,-0.2898,1.2491,510,509,0.5725,1.2706,19.99,1.3203
60,1.0,0.55,3,150,0.4906,0.0583,-0.2619,1.4758,462,461,0.5671,1.3273,24.15,1.701
60,1.0,0.55,3,200,0.454,0.0535,-0.2867,1.3026,448,447,0.5625,1.2886,23.17,1.3631
60,1.0,0.55,5,150,0.5599,0.0689,-0.2388,1.9044,362,361,0.5746,1.4259,34.63,1.588
60,1.0,0.55,5,200,0.6052,0.0762,-0.2477,2.2377,359,358,0.5905,1.4612,37.81,1.2524
60,1.0,0.6,2,150,0.4957,0.0586,-0.2553,1.4869,536,535,0.5634,1.3102,21.34,1.7931
60,1.0,0.6,2,200,0.4487,0.0524,-0.2895,1.2641,510,509,0.5745,1.2733,20.21,1.4063
60,1.0,0.6,3,150,0.4934,0.0588,-0.264,1.4926,462,461,0.5649,1.3301,24.39,1.7816
60,1.0,0.6,3,200,0.4556,0.0538,-0.2896,1.3129,448,447,0.5603,1.2908,23.36,1.4491
60,1.0,0.6,5,150,0.5632,0.0694,-0.2424,1.927,362,361,0.5691,1.4294,34.94,1.671
60,1.0,0.6,5,200,0.6103,0.077,-0.2481,2.2771,359,358,0.585,1.4664,38.24,1.3409
60,1.0,0.65,2,150,0.4995,0.0592,-0.2527,1.5084,536,535,0.5672,1.3136,21.59,1.8734
60,1.0,0.65,2,200,0.4512,0.0528,-0.2891,1.2788,510,509,0.5784,1.276,20.42,1.4928
60,1.0,0.65,3,150,0.4959,0.0592,-0.2662,1.5092,462,461,0.5671,1.3329,24.62,1.8628
60,1.0,0.65,3,200,0.457,0.0541,-0.2924,1.3229,448,447,0.5625,1.2929,23.55,1.5357
